G_tag,I_tag,M_tag,cluster_id,estimate,formula,g,molType,mz_L,mz_R,q,tot_estimate_tmp,tot_intensity_tmp
G253,I253,M25,4,1.47508238451,C50H75N15O10,-1,c8,1049.55,1049.63,1,1.47508238451,0.0
G240,I249,M25,4,0.537356047546,C50H75N15O10,-1,c8,1048.55,1048.63,1,358.598453736,200.6
G238,I248,M25,4,49.2775705015,C50H75N15O10,-1,c8,1047.54,1047.63,1,1088.30913101,877.0
G240,I250,M25,4,12.90218814,C50H75N15O10,-1,c8,1048.55,1048.63,1,358.598453736,200.6
G240,I251,M25,4,0.359046594373,C50H75N15O10,-1,c8,1048.55,1048.63,1,358.598453736,200.6
G250,I254,M25,4,0.987635594035,C50H75N15O10,-1,c8,1049.55,1049.63,1,0.987635594035,0.0
G251,I255,M25,4,0.241245494261,C50H75N15O10,-1,c8,1050.55,1050.63,1,0.241245494261,0.0
G239,I245,M25,4,15.5682255933,C50H75N15O10,-1,c8,1046.54,1046.63,1,1855.40419638,2029.0
G237,I244,M25,4,283.939014983,C50H75N15O10,-1,c8,1045.53,1045.63,1,283.939014983,230.0
G238,I247,M25,4,8.94693220357,C50H75N15O10,-1,c8,1047.54,1047.63,1,1088.30913101,877.0
G239,I246,M25,4,158.376638287,C50H75N15O10,-1,c8,1046.54,1046.63,1,1855.40419638,2029.0
G238,I258,M26,4,937.891104934,C50H75N15O10,0,c8,1047.54,1047.63,1,1088.30913101,877.0
G240,I259,M26,4,52.9828655347,C50H75N15O10,0,c8,1048.55,1048.63,1,358.598453736,200.6
G259,I263,M26,4,2.12623913958,C50H75N15O10,0,c8,1049.55,1049.63,1,2.12623913958,0.0
G260,I262,M26,4,76.4055079186,C50H75N15O10,0,c8,1049.55,1049.63,1,76.4055079186,0.0
G254,I261,M26,4,3.18217044274,C50H75N15O10,0,c8,1049.55,1049.63,1,3.18217044274,0.0
G240,I260,M26,4,291.816997419,C50H75N15O10,0,c8,1048.55,1048.63,1,358.598453736,200.6
G255,I267,M26,4,1.42863243986,C50H75N15O10,0,c8,1051.55,1051.63,1,1.42863243986,0.0
G256,I266,M26,4,5.8486822841,C50H75N15O10,0,c8,1050.55,1050.63,1,5.8486822841,0.0
G257,I265,M26,4,8.73529494277,C50H75N15O10,0,c8,1050.55,1050.63,1,8.73529494277,0.0
G258,I264,M26,4,0.343688644718,C50H75N15O10,0,c8,1050.55,1050.63,1,0.343688644718,0.0
G239,I256,M26,4,1681.4593325,C50H75N15O10,0,c8,1046.54,1046.63,1,1855.40419638,2029.0
G238,I257,M26,4,92.1935233724,C50H75N15O10,0,c8,1047.54,1047.63,1,1088.30913101,877.0
G240,I270,M27,4,-6.46519399191e-11,C50H75N15O10,1,c8,1048.55,1048.63,1,358.598453736,200.6
G242,I271,M27,4,-3.65228438703e-12,C50H75N15O10,1,c8,1049.55,1049.63,1,-3.65228438703e-12,0.0
G243,I272,M27,4,-2.01159120555e-11,C50H75N15O10,1,c8,1049.55,1049.63,1,-2.01159120555e-11,0.0
G244,I273,M27,4,-2.19357547154e-13,C50H75N15O10,1,c8,1050.55,1050.63,1,-2.19357547154e-13,0.0
G245,I274,M27,4,-5.26688469637e-12,C50H75N15O10,1,c8,1050.55,1050.63,1,-5.26688469637e-12,0.0
G246,I275,M27,4,-1.46568705453e-13,C50H75N15O10,1,c8,1050.55,1050.63,1,-1.46568705453e-13,0.0
G241,I276,M27,4,-2.369159649e-14,C50H75N15O10,1,c8,1051.55,1051.63,1,-2.369159649e-14,0.0
G247,I277,M27,4,-6.02152809472e-13,C50H75N15O10,1,c8,1051.55,1051.63,1,-6.02152809472e-13,0.0
G248,I278,M27,4,-4.03169039185e-13,C50H75N15O10,1,c8,1051.55,1051.63,1,-4.03169039185e-13,0.0
G249,I279,M27,4,-9.84803653455e-14,C50H75N15O10,1,c8,1052.55,1052.65,1,-9.84803653455e-14,0.0
G240,I269,M27,4,-6.35520488764e-12,C50H75N15O10,1,c8,1048.55,1048.63,1,358.598453736,200.6
